75 200
1 2 25
1 11 8
1 30 22
1 34 24
1 38 12
1 55 38
1 74 37
2 18 28
2 28 26
2 61 29
2 66 42
3 10 31
3 12 15
3 16 24
3 39 3
4 8 3
4 16 9
4 44 33
4 58 7
4 75 50
5 13 6
5 15 15
5 58 8
5 66 41
5 67 33
6 24 42
6 47 5
6 51 44
6 70 30
7 57 1
7 58 6
8 17 8
8 39 32
8 42 33
8 53 23
8 55 39
8 57 3
9 41 14
9 45 4
9 52 27
9 54 17
9 61 39
9 62 12
9 71 46
10 22 50
10 30 24
10 35 32
10 65 19
10 69 20
11 19 27
11 57 34
11 65 7
11 69 13
11 70 10
11 71 43
11 72 12
12 23 26
12 28 10
12 36 28
12 58 4
12 63 48
13 15 25
13 30 5
13 38 19
14 38 2
14 56 37
14 58 43
14 60 10
14 69 33
15 23 8
15 52 9
15 59 48
15 64 31
16 26 42
16 37 33
16 45 28
16 47 35
16 63 9
16 66 14
17 21 24
17 34 37
17 48 43
17 69 23
18 33 8
19 20 43
19 24 34
19 31 18
19 58 22
19 60 30
19 63 41
19 66 13
20 39 47
20 50 45
21 60 40
21 75 11
22 29 38
22 30 20
22 65 25
22 69 48
23 24 32
23 40 27
23 56 17
23 61 16
24 37 29
24 44 19
24 54 28
24 74 5
25 33 14
25 56 15
26 27 25
26 30 12
26 35 11
26 38 47
26 60 11
27 33 49
27 45 11
27 75 40
28 34 46
28 44 27
28 49 17
28 53 35
28 64 40
29 51 17
29 69 29
30 37 39
30 38 26
30 45 26
30 55 39
30 56 46
30 67 36
30 69 27
31 59 31
31 68 46
32 47 42
33 46 17
33 70 6
34 63 25
34 68 19
34 69 37
34 74 43
34 75 28
35 44 31
35 64 16
35 75 38
36 54 24
36 67 50
37 66 29
37 67 24
37 69 37
38 45 36
38 46 16
38 50 20
38 63 15
38 64 50
38 66 41
38 69 9
38 74 50
39 40 45
39 55 42
39 72 6
40 45 8
40 46 28
40 50 35
40 72 25
42 51 47
42 72 49
43 54 1
43 74 1
43 75 38
44 74 40
46 54 31
47 52 9
47 67 34
47 68 3
51 64 11
51 74 29
52 62 14
52 70 7
53 70 34
53 71 48
53 72 38
54 55 22
54 71 47
55 66 41
55 67 6
55 71 14
55 74 10
56 65 27
56 68 44
58 62 36
58 68 39
60 73 48
61 62 19
62 73 31
63 67 47
63 70 26
65 69 19
69 70 16
70 73 38
71 74 14
